WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,RECOMMENDED_AMOUNT,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,FILE_STATUS,TENURE_START_DATE,TENURE_END_DATE,ATTACH_ID,SANCTION_DATE,Total_Amt,SANCTION_AMOUNT_sanctioned,SANCTION_DATE_sanctioned,ACTUAL_AMOUNT,ACTUAL_END_DATE,AVERAGE_RATING,total_expenditure,payment_count,first_payment_date,last_payment_date,expenditure_ratio,amount_difference,recommendation_to_sanction_days,sanction_to_payment_days,sanction_to_completion_days,payment_duration_days,actual_amount_difference,data_completeness,data_confidence_pct,anomaly_score,anomaly_score_100,anomaly_prediction,ACTIVITY_TYPE,peer_count,peer_average_amount,peer_amount_difference,peer_amount_deviation_pct,VENDOR_NAME,vendor_project_count,vendor_total_expenditure,vendor_payment_count,vendor_expenditure_share_pct,project_text,max_project_similarity_pct,similar_project_id,potential_duplicate,rule_risk_score,risk_reasons,ml_risk_component,peer_risk_component,rule_risk_component,final_risk_score,risk_level
Normal/Others,WS/MP18016/2025-2026/221411-Improvement of electricity distribution infrastructure,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Supply of erection of 2300 HP VT Pump and motor -1 No  and electrical and Mechanical works at Vedadri - kanchala lift irrigation scheme on Krishna river in Jaggaiahpeta mandal of NTR District ,2025-07-23,3290032.0,1.0,4.0,Physical Inspection,LN/MP18016/2025-2026/1,3290032.0,1.0,VIJAYAWADA,221411.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",2095790.0,2025-08-21,,3290032.0,21-Aug-2025,3290032.0,2026-01-29,0.0,3290032.0,1.0,2026-01-22,2026-01-22,1.0,0.0,29.0,154.0,161.0,0.0,0.0,1.0,100.0,0.8385119265832195,83.85119265832195,1,Improvement of electricity distribution infrastructure,0.0,,,,Power Solutions,1.0,3290032.0,1.0,51.97883391912962,improvement of electricity distribution infrastructure supply of erection of 2300 hp vt pump and motor 1 no and electrical and mechanical works at vedadri kanchala lift irrigation scheme on krishna river in jaggaiahpeta mandal of ntr district,38.88888888888889,277854.0,False,0,Anomaly Score: 83.9/100; ,22.17054823274598,0.0,0,22.17054823274598,Low
Normal/Others,WS/MP18016/2025-2026/251879-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,"construction of community hall at 31st division, vijayawada central constituency",2025-12-02,7500000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2025-2026/2,7500000.0,2.0,VIJAYAWADA,251879.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2025-12-27,,7500000.0,27-Dec-2025,,,,,,,,,,25.0,,,,,0.2857142857142857,28.57142857142857,0.8366906462972469,83.66906462972469,1,Construction of community centers and community halls,2.0,5250000.0,2250000.0,42.857142857142854,,,,,,construction of community centers and community halls construction of community hall at 31st division vijayawada central constituency,85.82995951417004,251880.0,False,0,Anomaly Score: 83.7/100; Low data confidence (28.6%); ,19.81518118336965,8.571428571428571,0,28.386609754798222,Low
Normal/Others,WS/MP18016/2025-2026/251880-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,"construction of community hall at60th Division , vambay colony",2025-12-02,7500000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2025-2026/3,7500000.0,3.0,VIJAYAWADA,251880.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2025-12-27,,7500000.0,27-Dec-2025,,,,,,,,,,25.0,,,,,0.2857142857142857,28.57142857142857,0.8366906462972469,83.66906462972469,1,Construction of community centers and community halls,2.0,5250000.0,2250000.0,42.857142857142854,,,,,,construction of community centers and community halls construction of community hall at60th division vambay colony,85.82995951417004,251879.0,False,0,Anomaly Score: 83.7/100; Low data confidence (28.6%); ,19.81518118336965,8.571428571428571,0,28.386609754798222,Low
Normal/Others,WS/MP18016/2025-2026/251882-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Providing gravity main pipeline and 40 kl sump well,2025-12-02,4000000.0,1.0,4.0,Time Estimation,LN/MP18016/2025-2026/4,4000000.0,4.0,VIJAYAWADA,251882.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-01-03,,4000000.0,03-Jan-2026,,,,,,,,,,32.0,,,,,0.2857142857142857,28.57142857142857,0.8330599448062977,83.30599448062978,1,Construction of public irrigation facilities,3.0,1158333.3333333333,2841666.666666667,245.3237410071943,,,,,,construction of public irrigation facilities providing gravity main pipeline and 40 kl sump well,64.7887323943662,252028.0,False,0,Anomaly Score: 83.3/100; Low data confidence (28.6%); ,15.119783817150271,20.0,0,35.11978381715027,Medium
Normal/Others,WS/MP18016/2025-2026/251883-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Construction of culvert and retaining wall across Mangala vagu,2025-12-02,2000000.0,1.0,4.0,Work partially Completed,LN/MP18016/2025-2026/4,2000000.0,5.0,VIJAYAWADA,251883.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2025-12-27,,2000000.0,27-Dec-2025,,,,1396663.0,1.0,2026-07-24,2026-07-24,0.6983315,603337.0,25.0,209.0,,0.0,,0.7142857142857143,71.42857142857143,0.8303472615975047,83.03472615975048,1,Construction of public irrigation facilities,3.0,1825000.0,175000.0,9.58904109589041,ELURI GOPALARAO,1.0,1396663.0,1.0,22.0657167219022,construction of public irrigation facilities construction of culvert and retaining wall across mangala vagu,62.7906976744186,285880.0,False,0,Anomaly Score: 83.0/100; Moderate data confidence (71.4%); ,11.611611739190588,1.917808219178082,0,13.52941995836867,Low
Normal/Others,WS/MP18016/2025-2026/251884-Providing supply pipelines for drinking water,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Providing 150mm Di pipeline from p and T colony ELSR pumping line,2025-12-02,5488000.0,1.0,4.0,Vendor Identification,LN/MP18016/2025-2026/5,5488000.0,6.0,VIJAYAWADA,251884.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2025-12-27,,5488000.0,27-Dec-2025,,,,1642866.0,1.0,2026-06-18,2026-06-18,0.2993560495626822,3845134.0,25.0,173.0,,0.0,,0.7142857142857143,71.42857142857143,0.8467568733467062,84.67568733467063,-1,Providing supply pipelines for drinking water,0.0,,,,Matta Phani Bhushana Rao,1.0,1642866.0,1.0,25.95544935896818,providing supply pipelines for drinking water providing 150mm di pipeline from p and t colony elsr pumping line,52.83018867924528,277854.0,False,0,Anomaly Score: 84.7/100; Moderate data confidence (71.4%); ,32.833308973170915,0.0,0,32.833308973170915,Low
Normal/Others,WS/MP18016/2025-2026/252028-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Providing 160mm Di pipeline from autonagar ESLR to Gurunanak colony road ,2025-12-03,975000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2025-2026/6,975000.0,7.0,VIJAYAWADA,252028.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2025-12-27,,975000.0,27-Dec-2025,,,,,,,,,,24.0,,,,,0.2857142857142857,28.57142857142857,0.8366906462972469,83.66906462972469,1,Construction of public irrigation facilities,3.0,2166666.6666666665,-1191666.6666666665,-54.99999999999999,,,,,,construction of public irrigation facilities providing 160mm di pipeline from autonagar eslr to gurunanak colony road,67.6056338028169,251882.0,False,0,Anomaly Score: 83.7/100; Low data confidence (28.6%); ,19.81518118336965,0.0,0,19.81518118336965,Low
Repair and Renovation,WS/MP18016/2026-2027/273575-Construction of additional rooms and halls in the existing public and community building,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,"construction of MS Grills, placing of Glass interior, celing decor, floor, and wall tiles at community hall ",2026-03-11,1869000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2025-2026/7,1869000.0,8.0,VIJAYAWADA,273575.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-04-01,,1869000.0,01-Apr-2026,,,,,,,,,,21.0,,,,,0.2857142857142857,28.57142857142857,0.832154733815285,83.21547338152851,1,Construction of additional rooms and halls in the existing public and community building,0.0,,,,,,,,,construction of additional rooms and halls in the existing public and community building construction of ms grills placing of glass interior celing decor floor and wall tiles at community hall,46.647230320699705,285880.0,False,0,Anomaly Score: 83.2/100; Low data confidence (28.6%); ,13.949121532280696,0.0,0,13.949121532280696,Low
Repair and Renovation,WS/MP18016/2026-2027/277854-Providing supply pipelines for drinking water,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,"Additional bore, pump sets and pumping main to Drinking water scheme of Keesara village, knachikacharla mandal",2026-04-09,1300000.0,1.0,4.0,Time Estimation,LN/MP18016/2026-2027/8,1300000.0,9.0,VIJAYAWADA,277854.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-06-10,,1300000.0,10-Jun-2026,,,,,,,,,,62.0,,,,,0.2857142857142857,28.57142857142857,0.8458367791407038,84.58367791407038,-1,Providing supply pipelines for drinking water,0.0,,,,,,,,,providing supply pipelines for drinking water additional bore pump sets and pumping main to drinking water scheme of keesara village knachikacharla mandal,52.075471698113205,251884.0,False,0,Anomaly Score: 84.6/100; Low data confidence (28.6%); ,31.643399000591938,0.0,0,31.643399000591938,Low
Repair and Renovation,WS/MP18016/2026-2027/279535-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Development of experience center and artisan promotion for community benefit to kondapalli toys street,2026-05-02,3000000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/9,3000000.0,10.0,VIJAYAWADA,279535.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,2026-05-13,,3000000.0,13-May-2026,,,,,,,,,,11.0,,,,,0.2857142857142857,28.57142857142857,0.8439995889921069,84.39995889921069,-1,Construction of community centers and community halls,0.0,,,,,,,,,construction of community centers and community halls development of experience center and artisan promotion for community benefit to kondapalli toys street,61.48148148148148,251880.0,False,0,Anomaly Score: 84.4/100; Low data confidence (28.6%); ,29.2674565535276,0.0,0,29.2674565535276,Low
