WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,FILE_STATUS,TENURE_START_DATE,TENURE_END_DATE,ATTACH_ID,SANCTION_DATE,Total_Amt
Normal/Others,WS/MP18016/2025-2026/221411-Improvement of electricity distribution infrastructure,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Supply of erection of 2300 HP VT Pump and motor -1 No  and electrical and Mechanical works at Vedadri - kanchala lift irrigation scheme on Krishna river in Jaggaiahpeta mandal of NTR District ,23-Jul-2025,1.0,4.0,Physical Inspection,LN/MP18016/2025-2026/1,3290032.0,1.0,VIJAYAWADA,221411.0,True,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",2095790.0,21-Aug-2025,
Normal/Others,WS/MP18016/2025-2026/251879-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,"construction of community hall at 31st division, vijayawada central constituency",02-Dec-2025,1.0,4.0,Sanction,LN/MP18016/2025-2026/2,7500000.0,2.0,VIJAYAWADA,251879.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,27-Dec-2025,
Normal/Others,WS/MP18016/2025-2026/251880-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,"construction of community hall at60th Division , vambay colony",02-Dec-2025,1.0,4.0,Sanction,LN/MP18016/2025-2026/3,7500000.0,3.0,VIJAYAWADA,251880.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,27-Dec-2025,
Normal/Others,WS/MP18016/2025-2026/251882-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Providing gravity main pipeline and 40 kl sump well,02-Dec-2025,1.0,4.0,Time Estimation,LN/MP18016/2025-2026/4,4000000.0,4.0,VIJAYAWADA,251882.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,03-Jan-2026,
Normal/Others,WS/MP18016/2025-2026/251883-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Construction of culvert and retaining wall across Mangala vagu,02-Dec-2025,1.0,4.0,Work partially Completed,LN/MP18016/2025-2026/4,2000000.0,5.0,VIJAYAWADA,251883.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,27-Dec-2025,
Normal/Others,WS/MP18016/2025-2026/251884-Providing supply pipelines for drinking water,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Providing 150mm Di pipeline from p and T colony ELSR pumping line,02-Dec-2025,1.0,4.0,Vendor Identification,LN/MP18016/2025-2026/5,5488000.0,6.0,VIJAYAWADA,251884.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,27-Dec-2025,
Normal/Others,WS/MP18016/2025-2026/252028-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Providing 160mm Di pipeline from autonagar ESLR to Gurunanak colony road ,03-Dec-2025,1.0,4.0,Sanction,LN/MP18016/2025-2026/6,975000.0,7.0,VIJAYAWADA,252028.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,27-Dec-2025,
Repair and Renovation,WS/MP18016/2026-2027/273575-Construction of additional rooms and halls in the existing public and community building,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,"construction of MS Grills, placing of Glass interior, celing decor, floor, and wall tiles at community hall ",11-Mar-2026,1.0,4.0,Sanction,LN/MP18016/2025-2026/7,1869000.0,8.0,VIJAYAWADA,273575.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,01-Apr-2026,
Repair and Renovation,WS/MP18016/2026-2027/277854-Providing supply pipelines for drinking water,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,"Additional bore, pump sets and pumping main to Drinking water scheme of Keesara village, knachikacharla mandal",09-Apr-2026,1.0,4.0,Time Estimation,LN/MP18016/2026-2027/8,1300000.0,9.0,VIJAYAWADA,277854.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,10-Jun-2026,
Repair and Renovation,WS/MP18016/2026-2027/279535-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Development of experience center and artisan promotion for community benefit to kondapalli toys street,02-May-2026,1.0,4.0,Sanction,LN/MP18016/2026-2027/9,3000000.0,10.0,VIJAYAWADA,279535.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,13-May-2026,
